Project Name,GroupID,Ground Truth,CRPWarner Prediction,Correct,Classification
Abattoir of Zir (DIABLO),237,scam,True,True,Correct
PAULY (PAULY &#128056; &#129002;),238,scam,True,True,Correct
Celestia (TIA),239,scam,True,True,Correct
stoicDAO (ZETA),240,scam,False,False,False Negative
Bare Bear (BEAR),241,scam,False,False,False Negative
Memecoin (MEME),242,scam,True,True,Correct
Toothless - How to train meme (TOOTH),243,scam,False,False,False Negative
Mike Wazowski Monsters Inc (MIKE),244,scam,False,False,False Negative
MAJIN BUU (BUU),245,scam,False,False,False Negative
Jigsaw saw you (SAW),246,scam,False,False,False Negative
ROACH RACE (ROACH),247,scam,False,False,False Negative
LK-99 Protocol (LK99),248,scam,True,True,Correct
GGBOND (GGBOND),249,scam,True,True,Correct
AI C-3PO (C3PO),250,scam,False,False,False Negative
Jar Jar Binks (JAR),251,scam,False,False,False Negative
Kizuna AI (KIZUNA),252,scam,False,False,False Negative
Kaonashi the Faceless (NOFACE),253,scam,False,False,False Negative
MYX Finance (QMYX),254,scam,True,True,Correct
Snake Eyes (SNAKE),255,scam,True,True,Correct
SHIA (SHIA),256,scam,False,False,False Negative
YODA coin (YODA),257,scam,False,False,False Negative
Dark Matter (DARKM),258,scam,False,False,False Negative
Fuck The Merge (FUCKMERGE),259,scam,True,True,Correct
BoringNakas (BNAKA),260,scam,False,False,False Negative
KUKUCoin (KUKU),261,scam,False,False,False Negative
POOPEPE (POPE),262,scam,True,True,Correct
GN (GN),263,scam,False,False,False Negative
ok.lets.go. (OKLG),264,scam,False,False,False Negative
APE (APE),265,scam,False,False,False Negative
Towelie (TOWELIE),266,scam,True,True,Correct
Derpman (DMAN),267,scam,True,True,Correct
TITANX (TITANX),268,scam,True,True,Correct
MEMEPAD (MEMEPAD),269,scam,True,True,Correct
Power of ZUCK (ZUCK),270,scam,True,True,Correct
Coin Merge (CMERGE),271,scam,True,True,Correct
Julia (JULIA),272,scam,True,True,Correct
NOVAMIND_ (NMD),273,scam,True,True,Correct
Dogecoin 3.0 (DOGE3.0),274,scam,False,False,False Negative
BabyShia (BABYSHIA),275,scam,False,False,False Negative
Deez Nuts (DEEZ),276,scam,False,False,False Negative
Jewels (JWL),277,scam,True,True,Correct
Kosta Finance (KOSTA),278,scam,False,False,False Negative
Beamsplittr (BSPLT),279,scam,True,True,Correct
RIFT Token (RIFT),280,scam,False,False,False Negative
Pike Finance (PIKE),281,scam,True,True,Correct
Symbiogenesis (SYSIS),282,scam,True,True,Correct
EspressoBot (ESPS),283,scam,False,False,False Negative
One For The Books (BOOKS),284,scam,True,True,Correct
COIN (COIN),285,scam,False,False,False Negative
MotherOfAllMemes (MOAM),286,scam,False,False,False Negative
Friendchips.tech (FRIENDCHIPS),287,scam,True,True,Correct
RAIDEN GOD Thunder (RAIDEN),288,scam,False,False,False Negative
Lets Go Farming Token (LGF),289,scam,False,False,False Negative
SAUDI (SAUDI),290,scam,False,False,False Negative
Hype.Bet (Hype.Bet),291,scam,True,True,Correct
void.cash (VCASH),292,scam,True,True,Correct
fren (FREN),293,scam,True,True,Correct
Kickboxer Tate (KBTate),294,scam,False,False,False Negative
MTI FINANCE (MTI),295,scam,True,True,Correct
Yzer Token (YZER),296,scam,True,True,Correct
Mojo Jojo (MOJO),297,scam,True,True,Correct
loveloverocket twitter (LoveRCKT),298,scam,True,True,Correct
GAME SWAP (GAME),299,scam,True,True,Correct
DOGETAMA (DOGETAMA),300,scam,False,False,False Negative
SpaceX (SpaceX),301,scam,True,True,Correct
Cool Cats (COOL20),302,scam,False,False,False Negative
CatDog (CTDG),303,scam,True,True,Correct
foxi.finance (FOXI),304,scam,True,True,Correct
Raichu Thunderstone (RAI),305,scam,True,True,Correct
TWERK (TWERK),306,scam,False,False,False Negative
hypechill.fund (CHILL),307,scam,True,True,Correct
RFbtc (RFbtc),308,scam,False,False,False Negative
D4ppdao Token (D4PP),309,scam,False,False,False Negative
Sav3r.Finance (SAV3R),310,scam,True,True,Correct
Onigiri Neko (ONIGI),311,scam,True,True,Correct
FOCUS (FCS),312,scam,False,False,False Negative
MANTLE (MANTLE),313,scam,False,False,False Negative
reflation (RLF),314,scam,False,False,False Negative
SLOTH INU (SLOTH INU),315,scam,False,False,False Negative
K.O.N.G Token (KONG),316,scam,False,False,False Negative
ELLA (ELLA),317,scam,True,True,Correct
PUMP (PUMP),318,scam,False,False,False Negative
GROOT.FINANCE (GRT),319,scam,True,True,Correct
Contribute.Protocol (CTB),320,scam,False,False,False Negative
reflect3.finance (RFIII),321,scam,False,False,False Negative
Vegetables Finance (VEGE),322,scam,True,True,Correct
ba5ic.finance (BASIC),323,scam,True,True,Correct
Amazing Spider Man (SPIDER),324,scam,False,False,False Negative
Demeter (DMT),325,scam,True,True,Correct
BACON (BACON),326,scam,True,True,Correct
Bezop (Bez),327,scam,False,False,False Negative
Centra (CTR),328,scam,False,False,False Negative
Bitcoiin (B2G),329,scam,True,True,Correct
Sunder Protocol (SUNDER),330,scam,True,True,Correct
Space Inu (SPACEINU),331,scam,True,True,Correct
DogeFinance (DOFI),332,scam,True,True,Correct
Pizza Coin (PC),333,scam,True,True,Correct
Matcha (MATCHA),334,scam,True,True,Correct
BOB Token (BOB),335,scam,True,True,Correct
bitqy (BQ),336,scam,True,True,Correct
ShipChain SHIP (SHIP),337,scam,True,True,Correct
Titanium BAR (TBAR),338,scam,True,True,Correct
Shivers (SHVR),339,scam,False,False,False Negative
Eristica TOKEN (ERT),340,scam,True,True,Correct
Veritaseum (VERI),341,scam,True,True,Correct
Kore (KORE),342,scam,False,False,False Negative
Gladius (GLA),343,scam,True,True,Correct
Sether (SETH),344,scam,True,True,Correct
uglyinu.io (UGLY),345,scam,True,True,Correct
Stratos Network (STOS),346,scam,True,True,Correct
Anonymus Inu (ANU),347,scam,True,True,Correct
Goose Inu ($DGOSE),348,scam,True,True,Correct
Bitboy Inu (BITBOYINU),349,scam,True,True,Correct
Volcano Money (VOL),350,scam,True,True,Correct
Jejudoge V2 (JEJUDOGEv2&#128021;),351,scam,True,True,Correct
NewShiba(NIBA),352,scam,True,True,Correct
Supreme Inu (SUPRINU),353,scam,False,False,False Negative
PugDog Inu (PUGDOG),354,scam,False,False,False Negative
Fisa Inu (FISA),355,scam,False,False,False Negative
EthereumCate (ECATE),356,scam,True,True,Correct
Ethelon Finance (ETHELON),357,scam,False,False,False Negative
DragonBite (BITE),358,scam,True,True,Correct
Green Swap (GRNS),359,scam,True,True,Correct
EthereumSpacex (ElonVitalik),360,scam,True,True,Correct
PRG (PRG),361,scam,False,False,False Negative
Shopin Token (SHOP),362,scam,True,True,Correct
Xfinance (XFI),363,scam,False,False,False Negative
Dropil (DROP),364,scam,False,False,False Negative
Truample (TMPL),365,scam,True,True,Correct
AirToken (AIR),366,scam,False,False,False Negative
yfi.mobi (YFIM),367,scam,True,True,Correct
Zombie Shiba(ZHIBA),368,scam,True,True,Correct
HoDooi (HOD),369,scam,True,True,Correct
Goblin Town (GOBLIN),370,scam,True,True,Correct
Fuck Thanos ($FTHANOS),371,scam,True,True,Correct
Data Transaction Token (XD),372,scam,True,True,Correct
Tierion Network Token (TNT),373,scam,True,True,Correct
Uranus Token (URANUS),374,scam,True,True,Correct
Wealthfront (WF),375,scam,True,True,Correct
ANT1GOON (GOON),376,scam,True,True,Correct
exbase.finance (EXBASE),377,scam,True,True,Correct
xDEF Finance (xDEF2),378,scam,True,True,Correct
Dolphin Token (DOLPHIN),379,scam,True,True,Correct
Kanva (KNV),380,scam,True,True,Correct
GALIL (GALIL),381,scam,False,False,False Negative
Exorthous Finance (EXT),382,scam,True,True,Correct
xKingdom.tech Token (XKING),383,scam,True,True,Correct
PI (PI),384,scam,True,True,Correct
Bonk Inu (BONK),385,scam,False,False,False Negative
YAYO Coin (YAYO),386,scam,True,True,Correct
Goldbank (GB),387,scam,False,False,False Negative
ArbShibAI (AISHIB),388,scam,False,False,False Negative
FIO Protocol (FIO),389,scam,False,False,False Negative
Mystery (MST),390,scam,True,True,Correct
FlokiFarmToken (FLK),391,scam,True,True,Correct
LionKingToken (LKS),392,scam,True,True,Correct
PolyRainbowToken (RNBW),393,scam,True,True,Correct
MagicToken (MAGIC),394,scam,True,True,Correct
PolyHomerToken (HOMER),395,scam,True,True,Correct
PlugToken (PLUG),396,scam,False,False,False Negative
GullFinance Token (GULL),397,scam,False,False,False Negative
Cheetah Token (CHEETAH),398,scam,True,True,Correct
TreeToken (TREE),399,scam,False,False,False Negative
Sigma (SIGMA),400,scam,False,False,False Negative
Rapture (RT),401,scam,True,True,Correct
Egg (Egg),402,scam,False,False,False Negative
PolySnow (POLYSNOW),403,scam,True,True,Correct
RivusDAO (RIVUS),404,scam,False,False,False Negative
Magnet Finance (MGT),405,scam,True,True,Correct
Atlantis (ATL),406,scam,False,False,False Negative
Swaprum Token (SAPR),407,scam,False,False,False Negative
Merlin Token (MERL),408,scam,True,True,Correct
ArbiSwap (ArbiSwap),409,scam,False,False,False Negative
SuperRare (RARE),410,scam,False,False,False Negative
Blur Finance (BLR),411,scam,True,True,Correct
Dragoma (DMA),412,scam,False,False,False Negative
ARBIX (ARBX),413,scam,True,True,Correct
AnubisDAO 2.0 (ANUBISDAO2.0),414,scam,False,False,False Negative
Jay Pegs Auto Mart (JPAM),415,scam,True,True,Correct
Stable Magnet Token (SMAG),416,scam,False,False,False Negative
PAID Network (PAID),417,scam,False,False,False Negative
Mad Meerkat Finance,418,scam,False,False,False Negative
AQUA (AQUA),419,scam,True,True,Correct
BaseBros (BROS),420,scam,True,True,Correct
OPM (Opium Bird),421,scam,False,False,False Negative
Ghetto Pepe (HOOD),422,scam,True,True,Correct
Catana Inu ($CATI),423,scam,True,True,Correct
GRIMACE (GRIMACE),424,scam,False,False,False Negative
MBAPPE COIN (MBAPPE),425,scam,False,False,False Negative
Base Dawgz (DAWGZ),426,scam,False,False,False Negative
KaraStar UMY (UMY),427,scam,True,True,Correct
ZKasino (ZKAS),428,scam,False,False,False Negative
AVO (AVO),429,scam,True,True,Correct
HUMANS (HEART),430,scam,False,False,False Negative
Pancake LPs (Cake-LP),431,scam,False,False,False Negative
ClosedAI (CLOSEDAI),432,scam,True,True,Correct
ERROR 404 (ERR),433,scam,False,False,False Negative
Libra Protocol,434,scam,True,True,Correct
stoicDAO (ZETA),435,scam,False,False,False Negative
CKD TOKEN (CKD),436,scam,True,True,Correct
BabyFlokiDoge (BABYFD),437,scam,False,False,False Negative
Lucky Star Currency,438,scam,True,True,Correct
Justus Token (JTT),439,scam,True,True,Correct
Bald (BALD),440,scam,True,True,Correct
DeFiLABS (DLABS),441,scam,False,False,False Negative
Spooky Pepe (PEPESP),442,scam,True,True,Correct
MuratiAI (MURATIAI),443,scam,True,True,Correct
SatoshiSwap (SWAP),444,scam,True,True,Correct
Hakuna Share (MTT),445,scam,False,False,False Negative
Freddy Coin (FREDDY),446,scam,False,False,False Negative
XIRTAM (XIRTAM),447,scam,True,True,Correct
Ordinals Finance (OFI),448,scam,True,True,Correct
Kokomo Finance (KOKO),449,scam,True,True,Correct
FARM Reward Token (FARM),450,scam,True,True,Correct
fRiENDSiES (fRiENDSiES),451,scam,False,False,False Negative
Nostra (NSTR),452,scam,True,True,Correct
Dogland (DOG),453,scam,True,True,Correct
FoodFarmer.Finance (FFF),454,scam,False,False,False Negative
Snowflake Token (SFE),455,scam,False,False,False Negative
RangersProtocolGas (RPG),456,scam,True,True,Correct
FTE (FTE),457,scam,False,False,False Negative
The Micro Elements (TME),458,scam,True,True,Correct
SEX DAO (SED),459,scam,True,True,Correct
Pokemon (Pokemon),460,scam,False,False,False Negative
axon James Musk 2.0 (Saxon James Musk 2.0),461,scam,True,True,Correct
DRAC Network (DRAC),462,scam,False,False,False Negative
LV PLUS (LVP),463,scam,True,True,Correct
StarMon (SMON),464,scam,True,True,Correct
Animoon (ANIMOON),465,scam,False,False,False Negative
Armadillo Token ($ARMADILLO),466,scam,False,False,False Negative
DecentraWorld ($DEWO),467,scam,False,False,False Negative
FuryOfTheFur (FOTF),468,scam,False,False,False Negative
Day Of Defeat (DOD),469,scam,False,False,False Negative
BNBDeFi ($DEFI),470,scam,True,True,Correct
PLD (PLD),471,scam,False,False,False Negative
Baby Musk (BabyMusk),472,scam,True,True,Correct
WeGro (WEGRO),473,scam,True,True,Correct
Mercenary Gold (MGOLD),474,scam,True,True,Correct
Infinity Token (IT),475,scam,False,False,False Negative
KingFund (KING),476,scam,False,False,False Negative
MetaSwap (MSC),477,scam,False,False,False Negative
Bent Token (BENT),478,scam,True,True,Correct
EvolvedApes (EVA),479,scam,False,False,False Negative
URANIUM FINANCIAL (URF),480,scam,False,False,False Negative
PEPECoinDAO (PEPEDAO),481,scam,True,True,Correct
Lymex (LYM),482,scam,True,True,Correct
BNB Hack Inu (BNBHACK),483,scam,True,True,Correct
Open Campus (EDU),484,scam,True,True,Correct
COPENHEIMER (COPE),485,scam,True,True,Correct
InsurChain Coin (INSUR),486,scam,False,False,False Negative
Pinakion (PNK),487,scam,True,True,Correct
Airpod token (APOD),488,scam,True,True,Correct
Robotina token (ROX),489,scam,True,True,Correct
StatusNetwork (SNT),490,scam,False,False,False Negative
DaTa eXchange Token (DTX),491,scam,True,True,Correct
RankingBall Gold (RBG),492,scam,False,False,False Negative
DRAGON (DRG),493,scam,True,True,Correct
FuzeX (FXT),494,scam,False,False,False Negative
Color Coin (CLR),495,scam,False,False,False Negative
SwarmCity (SWT),496,scam,False,False,False Negative
YOYOW (YOYOW),497,scam,False,False,False Negative
UniCoin (UNI),498,scam,True,True,Correct
Cindicator (CND),499,scam,False,False,False Negative
B2BCoin (BBC),500,scam,True,True,Correct
Fuel Token (FUEL),501,scam,False,False,False Negative
Dank Token (DANK),502,scam,False,False,False Negative
Wisdom Protocol (WIS),503,scam,False,False,False Negative
CAW 2.0 (A RUGGERS DREAM),504,scam,False,False,False Negative
X PROTOCOL (XP),505,scam,True,True,Correct
Grinch INU (GINU),506,scam,True,True,Correct
HAPPYBEAR (HAPPY),507,scam,False,False,False Negative
Rabbit2023 (RABBIT),508,scam,False,False,False Negative
Raijin (RAIJIN),509,scam,True,True,Correct
Ultima (Ult),510,scam,True,True,Correct
Satoshi Vision (SVI),511,scam,False,False,False Negative
Messi (MESSI),512,scam,True,True,Correct
Spirit Away (HAKU),513,scam,True,True,Correct
CRISTIANO RONALDO ($CR7),514,scam,True,True,Correct
Cancer Inu (CANCER),515,scam,True,True,Correct
Tom ($TOM),516,scam,True,True,Correct
Islam Makhachev Inu (ISLAM),517,scam,True,True,Correct
NITRO (NOX),518,scam,True,True,Correct
teh ppl (CROWS),519,scam,True,True,Correct
Shibabydoge (SBD),520,scam,True,True,Correct
sparta (SPARTA),521,scam,True,True,Correct
CuzIGotHIGH (HIGH),522,scam,True,True,Correct
Musky Swap (MUSKSWAP),523,scam,True,True,Correct
Just a Token (OneToken),524,scam,True,True,Correct
Baby Ape (BABYAPE),525,scam,True,True,Correct
BabyTrump (BabyTrump),526,scam,True,True,Correct
TEST (TEST),527,scam,True,True,Correct
Music Protocol (Music),528,scam,True,True,Correct
Doge Wars (DW),529,scam,True,True,Correct
Domo (DOMO),530,scam,True,True,Correct
Follow the she Goat (Chimera),531,scam,True,True,Correct
Jerome Powell Inu (JPI),532,scam,True,True,Correct
Mizuchi (MIZU),533,scam,True,True,Correct
ToTheMoon(ARTEMIS),534,scam,True,True,Correct
Milo Inu (MILO),535,scam,True,True,Correct
XDAO (XDAO),536,scam,False,False,False Negative
STAKEDAO (STAKEDAO),537,scam,False,False,False Negative
ShibEreum (SHIBEREUM),538,scam,False,False,False Negative
SAFE MARS (SMARS),539,scam,False,False,False Negative
Lovely Inu Finance (LOVELY),540,scam,False,False,False Negative
Mighty Mouse (MIGHTY),541,scam,False,False,False Negative
BITCRAFT ONLINE,542,scam,False,False,False Negative
SAFE MARS (SMARS),543,scam,False,False,False Negative
L7 DEX (LSD7),544,scam,False,False,False Negative
Big Time (BIGTIME),545,scam,False,False,False Negative
ShowHand (HAND),546,scam,True,True,Correct
LGO (LGO),547,scam,False,False,False Negative
Playkey (PKT),548,scam,True,True,Correct
EcoRealEstate (ECOREAL),549,scam,True,True,Correct
SunContract (SNC),550,scam,True,True,Correct
